"","X.x","Supplier.Number","accountsPayable","accountsReceivable","bankCashBalances","bankOverdraft","debitOwnedWithinOneYear","financialAssets","fixedAssets","intangibleAssets","otherCurrentAssets","otherCurrentLiabilities","otherEquity","otherTermAssets","otherTermLiabilities","prepayments","retainedEarnings","subscribedCapital","termLoans","totalAssets","totalCurrentAssets","totalCurrentLiabilities","totalInventories","totalLiabilities","totalShareholderEquity","totalTermAssets","totalTermLiabilities","accountPayableAccrualFromCashFlow","capitalExpenditure","changeInInventoriesFromCashFlow","netChangeInCashAndCashEquivalents","netFundingCashFlow","netInvestingCashFlow","unbilledAccountsReceivableRevenueFromCashFlow","currency","financialDate","period","abnormalItems","amortization","companyTaxExpense","costOfGoodsSold","depreciation","earningsBeforeInterestAndTax","grossProfit","interestExpense","interestReceived","investmentIncome","netInvestmentIncome","netProfitAfterTax","netProfitAfterTaxAndMinorityInterests","netProfitBeforeTax","netSurplus","otherIncome","otherInvestmentExpense","otherOperatingExpense","totalOperatingExpense","totalOperatingRevenue","totalStaffCosts","salesRevenue","RRID","id","eqyYear","CHS","FHR","Data.Source","Group","Group.Classification","Parent.ID","X.y","count","USD.to.Other.Currency","X.Other.Currency.to.USD","Inflation.Rate...."
"31",30,"32590",NA,NA,161.246,NA,0,NA,115.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,725.622,314.862,92.447,NA,202.871,522.751,NA,NA,NA,NA,NA,NA,-67.491,-14.923,NA,"USD","2024-06-30","Q2",-7.15,NA,12.674,NA,NA,66.744,NA,3.453,5.317,NA,NA,55.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.158,"YA5vokD","2024Q2",2024,56,78,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"2.90%"
"32",31,"32590",NA,NA,162.425,NA,0,NA,116.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,732.84,318.218,95.948,NA,211.555,521.285,NA,NA,NA,NA,NA,NA,-65.082,-14.236,NA,"USD","2024-03-31","Q1",-7.855,NA,12.795,NA,NA,67.412,NA,3.438,4.948,NA,NA,53.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.178,"YA5vokD","2024Q1",2024,56,78,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"2.90%"
"33",32,"32590",NA,NA,163.876,NA,0,NA,119.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,741.167,319.349,97.039,NA,214.345,526.822,NA,NA,NA,NA,NA,NA,-65.399,-18.097,NA,"USD","2023-12-31","YE",-7.074,NA,14.621,NA,NA,75.051,NA,3.331,4.625,NA,NA,60.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.422,"YA5vokD","2023YE",2023,59,79,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"4.12%"
"34",33,"32590",NA,NA,160.112,NA,0,NA,120.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.665,753.962,334.324,103.426,NA,231.295,522.667,NA,NA,NA,NA,NA,NA,-51.224,-19.995,NA,"USD","2023-09-30","Q3",-6.511,NA,18.145,NA,NA,80.425,NA,3.211,3.803,NA,NA,60.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.009,"YA5vokD","2023Q3",2023,59,78,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"4.12%"
"35",34,"32590",NA,NA,150.878,NA,0,NA,120.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.04,755.906,329.877,107.182,NA,234.511,521.395,NA,NA,NA,NA,NA,NA,-50.023,-19.515,NA,"USD","2023-06-30","Q2",-3.777,NA,18.879,NA,NA,84.881,NA,2.556,3.018,NA,NA,57.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.368,"YA5vokD","2023Q2",2023,60,80,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"4.12%"
"36",35,"32590",NA,NA,143.537,NA,0,NA,118.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.261,747.007,322.644,105.776,NA,232.871,514.136,NA,NA,NA,NA,NA,NA,-5.517,-91.2,NA,"USD","2023-03-31","Q1",-2.512,NA,20.02,NA,NA,89.135,NA,2.34,2.209,NA,NA,57.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.168,"YA5vokD","2023Q1",2023,60,79,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"4.12%"
"37",36,"32590",NA,NA,156.91,NA,0,NA,120.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.67,748.487,325.76,112.532,NA,242.263,506.224,NA,NA,NA,NA,NA,NA,4.336,-111.188,NA,"USD","2022-12-31","YE",-1.912,NA,21.162,NA,NA,93.006,NA,2.192,1.326,NA,NA,59.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.869,"YA5vokD","2022YE",2022,61,80,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"8.00%"
"38",37,"32590",NA,NA,147.908,NA,0,NA,118.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.478,734.679,326.397,121.939,NA,244.067,490.612,NA,NA,NA,NA,NA,NA,10.322,-113.289,NA,"USD","2022-09-30","Q3",-2.57,NA,20.917,NA,NA,89.812,NA,2.024,0.761,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.119,"YA5vokD","2022Q3",2022,61,79,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"8.00%"
"39",38,"32590",NA,NA,98.739,NA,0,NA,122.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.027,729.634,278.55,115.376,NA,243.687,485.947,NA,NA,NA,NA,NA,NA,12.695,-115.19,NA,"USD","2022-06-30","Q2",-2.397,NA,-10.506,NA,NA,86.135,NA,2.196,0.824,NA,NA,-21.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.59,"YA5vokD","2022Q2",2022,42,66,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"8.00%"
"40",39,"32590",NA,NA,126.118,NA,0,NA,120.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,684.746,292.045,115.04,NA,204.568,480.178,NA,NA,NA,NA,NA,NA,-20.191,-42.142,NA,"USD","2022-03-31","Q1",-1.918,NA,-16.306,NA,NA,84.028,NA,2.102,0.818,NA,NA,-33.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.193,"YA5vokD","2022Q1",2022,43,71,"Public","F3, HDM F1","Auto","P509543",NA,NA,NA,NA,"8.00%"
