,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
263,52,47,35,32,32,44,52,58,58,51,48,40,38,40,43,50,51,53,53,,0,10,"2025, Q1",6/30/2024 0:00,53,53,0.2168,Public,"A1, HDM F1",Auto,P646110,71246,81
264,61,63,58,58,58,60,61,59,50,37,35,36,36,48,51,54,60,56,57,,1,6,"2025, Q1",6/30/2024 0:00,57,57,0.14,Public,"A1, HDM F1",Auto,P589832,519075P,123
265,,83,,,,81,,,,76,,,,86,,,,,,,,10,"2023, YE",12/31/2023 0:00,86,86,0.0022,FHRx,"A1, HDM F1",Auto,P589832,519075,249
266,55,49,51,62,54,52,42,45,42,48,42,49,53,55,53,49,,,,,-4,0,"2024, Q2",6/30/2024 0:00,49,53,0.3343,Public,A1,Auto,P812680,517567,30
267,,,,,,24,,,,24,,,28,22,,20,,,,,,,"2024, Q2",12/30/2023 0:00,20,20,11.4135,FHRx,A2,Auto,P609937,41800,265
270,,37,,,,57,,,,65,,,,87,,,,,,,,22,"2023, YE",9/30/2023 0:00,87,87,0.0017,FHRx,A3,Auto,P850281,517064,199
272,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,"A1, A3, F0, F2, F3, PU, HDM F1",Auto,P825978,140290,44
274,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,HDM F1,Auto,P825978,521475,
277,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,F0,Auto,P825978,503064P,
276,,,14,19,19,32,,,19,19,,,,25,31,,,65,,,,40,"2024, YE",3/31/2024 0:00,65,65,0.0562,FHRx,F0,Auto,P825978,503064,316
278,,55,,55,,,,,,58,,,,53,,,,,,,,-5,"2023, YE",12/31/2023 0:00,53,53,0.2168,FHRx,A1,Auto,P938262,41230,
281,24,30,23,22,31,34,,21,,29,,,,24,,24,,22,,,,-2,"2024, YE",3/31/2024 0:00,22,22,8.4984,FHRx,A1,Auto,P0,521081,254
283,31,31,31,31,31,27,30,31,31,36,35,33,33,32,33,33,,,,,0,0,"2024, Q2",6/30/2024 0:00,33,34,2.0101,Public,A1,Auto,P599512,520446,213
