,Vlookup Supplier #,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR
33,32590,,,160.112,,0.0,,120.425,,,,,,,,,,76.665,753.962,334.324,103.426,,231.295,522.667,,,,,,,-51.224,-19.995,,USD,2023-09-30,Q3,-6.511,,18.145,,,80.425,,3.211,3.803,,,60.152,,,,,,,,,,568.009,YA5vokD,2023Q3,2023,59,78
34,32590,,,150.878,,0.0,,120.724,,,,,,,,,,77.04,755.906,329.877,107.182,,234.511,521.395,,,,,,,-50.023,-19.515,,USD,2023-06-30,Q2,-3.777,,18.879,,,84.881,,2.556,3.018,,,57.979,,,,,,,,,,585.368,YA5vokD,2023Q2,2023,60,80
35,32590,,,143.537,,0.0,,118.149,,,,,,,,,,80.261,747.007,322.644,105.776,,232.871,514.136,,,,,,,-5.517,-91.2,,USD,2023-03-31,Q1,-2.512,,20.02,,,89.135,,2.34,2.209,,,57.68,,,,,,,,,,585.168,YA5vokD,2023Q1,2023,60,79
36,32590,,,156.91,,0.0,,120.002,,,,,,,,,,83.67,748.487,325.76,112.532,,242.263,506.224,,,,,,,4.336,-111.188,,USD,2022-12-31,YE,-1.912,,21.162,,,93.006,,2.192,1.326,,,59.575,,,,,,,,,,586.869,YA5vokD,2022YE,2022,61,80
37,32590,,,147.908,,0.0,,118.536,,,,,,,,,,85.478,734.679,326.397,121.939,,244.067,490.612,,,,,,,10.322,-113.289,,USD,2022-09-30,Q3,-2.57,,20.917,,,89.812,,2.024,0.761,,,53.8,,,,,,,,,,577.119,YA5vokD,2022Q3,2022,61,79
38,32590,,,98.739,,0.0,,122.089,,,,,,,,,,91.027,729.634,278.55,115.376,,243.687,485.947,,,,,,,12.695,-115.19,,USD,2022-06-30,Q2,-2.397,,-10.506,,,86.135,,2.196,0.824,,,-21.894,,,,,,,,,,547.59,YA5vokD,2022Q2,2022,42,66
39,32590,,,126.118,,0.0,,120.253,,,,,,,,,,50.0,684.746,292.045,115.04,,204.568,480.178,,,,,,,-20.191,-42.142,,USD,2022-03-31,Q1,-1.918,,-16.306,,,84.028,,2.102,0.818,,,-33.617,,,,,,,,,,532.193,YA5vokD,2022Q1,2022,43,71
40,70260,,,789.0,,1644.0,,9353.0,,,,,,,,,,6832.0,22025.0,8204.0,7709.0,,17170.0,4855.0,,,,,,,-313.0,-878.0,,USD,2024-06-30,Q2,-676.0,,79.0,,,74.0,,523.0,77.0,,,-358.0,,,,,,,,,,19365.0,Ga0POwa,2024Q2,2024,21,25
41,70260,,,893.0,,783.0,,9432.0,,,,,,,,,,7483.0,21991.0,8062.0,7020.0,,17193.0,4798.0,,,,,,,-747.0,-810.0,,USD,2024-03-31,Q1,-728.0,,17.0,,,-205.0,,531.0,83.0,,,-646.0,,,,,,,,,,19662.0,Ga0POwa,2024Q1,2024,21,28
42,70260,,,902.0,,793.0,,9477.0,,,,,,,,,,6831.0,21582.0,7650.0,7147.0,,16745.0,4837.0,,,,,,,-333.0,-1035.0,,USD,2023-12-31,YE,-738.0,,10.0,,,-246.0,,532.0,84.0,,,-687.0,,,,,,,,,,20066.0,Ga0POwa,2023YE,2023,21,27
43,70260,,,1002.0,,599.0,,9175.0,,,,,,,,,,8067.0,22499.0,8677.0,6694.0,,17338.0,5161.0,,,,,,,-151.0,-1084.0,,USD,2023-09-30,Q3,-353.0,,34.0,,,-57.0,,523.0,67.0,,,-496.0,,,,,,,,,,20324.0,Ga0POwa,2023Q3,2023,21,28
44,70260,,,1049.0,,783.0,,9277.0,,,,,,,,,,8027.0,22814.0,8858.0,6940.0,,17541.0,5273.0,,,,,,,319.0,-1156.0,,USD,2023-06-30,Q2,-214.0,,67.0,,,114.0,,502.0,57.0,,,-364.0,,,,,,,,,,20493.0,Ga0POwa,2023Q2,2023,21,27
45,70260,,,1082.0,,807.0,,9299.0,,,,,,,,,,8204.0,23171.0,9213.0,6984.0,,17747.0,5424.0,,,,,,,668.0,-1070.0,,USD,2023-03-31,Q1,-169.0,,151.0,,,495.0,,474.0,45.0,,,14.0,,,,,,,,,,20838.0,Ga0POwa,2023Q1,2023,21,28
46,70260,,,1227.0,,623.0,,9270.0,,,,,,,,,,7267.0,22431.0,8665.0,7140.0,,16965.0,5466.0,,,,,,,575.0,-914.0,,USD,2022-12-31,YE,-148.0,,190.0,,,706.0,,451.0,34.0,,,209.0,,,,,,,,,,20805.0,Ga0POwa,2022YE,2022,25,30
47,70260,,,1243.0,,807.0,,8866.0,,,,,,,,,,7839.0,23378.0,9951.0,7459.0,,18128.0,5250.0,,,,,,,654.0,-950.0,,USD,2022-09-30,Q3,-110.0,,-184.0,,,1016.0,,438.0,29.0,,,871.0,,,,,,,,,,20485.0,Ga0POwa,2022Q3,2022,48,37
48,70260,,,1248.0,,835.0,,9049.0,,,,,,,,,,7569.0,22901.0,9223.0,7121.0,,17554.0,5347.0,,,,,,,621.0,-963.0,,USD,2022-06-30,Q2,-62.0,,-189.0,,,1069.0,,425.0,24.0,,,957.0,,,,,,,,,,20108.0,Ga0POwa,2022Q2,2022,50,39
49,70260,,,1053.0,,920.0,,9279.0,,,,,,,,,,7450.0,22622.0,8563.0,6945.0,,17300.0,5322.0,,,,,,,2147.0,-2913.0,,USD,2022-03-31,Q1,-54.0,,-244.0,,,951.0,,412.0,71.0,,,858.0,,,,,,,,,,18875.0,Ga0POwa,2022Q1,2022,47,37
50,584281,,,307.0,,301.0,,948.8,,,,,,,,,,1702.1,3838.8,1788.6,1167.9,,3170.5,668.3,,,,,,,-291.0,-47.3,,USD,2024-06-30,Q2,-1141.9,,-92.3,,,-826.7,,87.2,6.6,,,-815.0,,,,,,,,,,4516.0,XALle1A,2024Q2,2024,21,25
51,584281,,,361.3,,303.8,,974.3,,,,,,,,,,1772.9,4614.8,1860.3,1188.3,,3325.3,1289.5,,,,,,,-305.1,-65.3,,USD,2024-03-31,Q1,-446.5,,-40.6,,,-116.7,,87.9,5.3,,,-158.7,,,,,,,,,,4608.6,XALle1A,2024Q1,2024,20,35
52,584281,,,365.5,,318.3,,978.4,,,,,,,,,,1679.6,4634.5,1881.4,1262.6,,3300.5,1334.0,,,,,,,-358.8,-91.3,,USD,2023-12-31,YE,-446.6,,-36.6,,,-90.4,,88.4,5.4,,,-136.8,,,,,,,,,,4725.3,XALle1A,2023YE,2023,20,36
53,584281,,,273.9,,8.9,,976.8,,,,,,,,,,1963.0,5077.6,1886.2,1009.1,,3441.7,1635.9,,,,,,,-417.7,-133.2,,USD,2023-09-30,Q3,-0.7,,68.5,,,367.6,,90.4,4.7,,,213.4,,,,,,,,,,4806.0,XALle1A,2023Q3,2023,51,57
54,584281,,,272.4,,8.2,,1001.2,,,,,,,,,,2016.4,5144.3,1905.8,955.6,,3475.7,1668.6,,,,,,,-303.7,-205.8,,USD,2023-06-30,Q2,0.0,,72.5,,,389.4,,88.9,4.0,,,232.0,,,,,,,,,,4925.0,XALle1A,2023Q2,2023,54,59
55,584281,,,344.5,,8.9,,1007.7,,,,,,,,,,2108.9,5270.0,2014.8,968.6,,3602.9,1667.1,,,,,,,-264.7,-201.3,,USD,2023-03-31,Q1,0.0,,80.8,,,436.7,,86.9,4.0,,,273.0,,,,,,,,,,5038.0,XALle1A,2023Q1,2023,58,63
56,584281,,,316.5,,29.0,,971.6,,,,,,,,,,2074.2,5186.1,1958.0,968.1,,3544.7,1641.4,,,,,,,-286.2,-181.2,,USD,2022-12-31,YE,0.0,,93.7,,,485.0,,85.5,4.1,,,309.9,,,,,,,,,,5146.7,XALle1A,2022YE,2022,62,65
57,584281,,,226.2,,7.4,,932.0,,,,,,,,,,2133.6,5175.2,2001.0,965.0,,3612.4,1562.8,,,,,,,-206.9,-162.7,,USD,2022-09-30,Q3,-0.7,,105.7,,,546.0,,81.0,3.4,,,362.7,,,,,,,,,,5283.8,XALle1A,2022Q3,2022,66,67
58,584281,,,269.9,,301.3,,939.7,,,,,,,,,,1789.5,5230.6,2091.8,1331.4,,3616.0,1614.6,,,,,,,-218.8,-95.3,,USD,2022-06-30,Q2,8.6,,112.3,,,577.0,,79.5,3.2,,,388.4,,,,,,,,,,5308.6,XALle1A,2022Q2,2022,67,64
